"city","county","state","population","total_penjualan","penjualan_per_kapita"
"Baxter","Jasper","Iowa",1555,"927063.3499999968","596.1822186495157"
"Tabor","Fremont","Iowa",1561,"930057.7499999984","595.8089365791149"
"Clarence","Cedar","Iowa",1224,"719503.2999999985","587.8294934640511"
"Stanwood","Cedar","Iowa",794,"466260.29999999935","587.2295969773292"
"Gilbertville","Black Hawk","Iowa",822,"479382.55000000005","583.1904501216545"
"Atkins","Benton","Iowa",2614,"1506844.400000005","576.4515684774311"
"Afton","Union","Iowa",1760,"1011959.9499999972","574.9772443181802"
"Rockwell City","Calhoun","Iowa",2827,"1612175.1500000125","570.2777325787098"
"Iowa City","Johnson","Iowa",25195,"14323050.299999893","568.4878071045799"
"Crescent","Pottawattamie","Iowa",1673,"949314.2999999985","567.4323371189471"
"Lovilia","Monroe","Iowa",974,"546692.9499999993","561.2863963039007"
"Slater","Story","Iowa",2026,"1134050.3500000006","559.7484452122411"
"State Center","Marshall","Iowa",2619,"1465162.2500000014","559.4357579228719"
"Albion","Marshall","Iowa",1057,"587770.9000000003","556.0746452223276"
"Ackley","Hardin","Iowa",2638,"1448242.0000000014","548.9924184988633"
"Sully","Jasper","Iowa",1360,"740134.7999999974","544.2167647058805"
"New Sharon","Mahaska","Iowa",2125,"1151247.3000000012","541.7634352941183"
"Allerton","Wayne","Iowa",844,"455194.7000000005","539.3302132701427"
"Eddyville","Wapello","Iowa",1889,"1018218.0499999991","539.0249073583902"
"Maxwell","Story","Iowa",1831,"984385.2500000015","537.6216548334252"
"Malvern","Mills","Iowa",1610,"864496.9499999976","536.9546273291911"
"Stanton","Montgomery","Iowa",1096,"584847.4999999993","533.6199817518242"
"Rolfe","Pocahontas","Iowa",841,"447064.6499999997","531.5869797859687"
"New Hartford","Butler","Iowa",1332,"705689.9999999994","529.7972972972968"
"Arlington","Fayette","Iowa",742,"391565.25000000116","527.7159703504059"
"Griswold","Cass","Iowa",1840,"970561.4499999993","527.4790489130431"
"Latimer","Franklin","Iowa",983,"518317.8500000014","527.2816378433381"
"Nichols","Muscatine","Iowa",801,"421366.6999999996","526.0508114856425"
"Grand Junction","Greene","Iowa",1040,"535798.1999999995","515.1905769230764"
"Wheatland","Clinton","Iowa",1202,"618973.6499999994","514.9531198003323"
"Earlham","Madison","Iowa",2367,"1204033.050000003","508.67471482889863"
"Redfield","Dallas","Iowa",1357,"687819.6499999996","506.86783345615294"
"Sheffield","Franklin","Iowa",1519,"756229.949999999","497.8472350230408"
"Maynard","Fayette","Iowa",768,"382113.50000000006","497.54361979166674"
"Pleasantville","Marion","Iowa",2776,"1369621.500000004","493.3795028818458"
"What Cheer","Keokuk","Iowa",1059,"521263.6499999992","492.2225212464582"
"Eldon","Wapello","Iowa",1306,"633290.7499999984","484.90869065849796"
"Mechanicsville","Cedar","Iowa",1601,"752643.6999999975","470.10849469081666"
"Montrose","Lee","Iowa",1888,"877170.9500000034","464.60325741525605"
"Fairbank","Buchanan","Iowa",2605,"1204706.149999997","462.4591746641064"
"Blairstown","Benton","Iowa",1100,"501832.4999999992","456.2113636363629"
"Akron","Plymouth","Iowa",2330,"1058905.6000000036","454.46592274678267"
"Mitchellville","Polk","Iowa",2989,"1358035.4000000018","454.344396119104"
"Dysart","Tama","Iowa",1974,"896559.8499999982","454.1843211752777"
"Ames","Story","Iowa",29706,"13467250.399999775","453.3511883121179"
"Winfield","Henry","Iowa",1434,"644883.3500000001","449.70944909344496"
"Van Horne","Benton","Iowa",1431,"639902.0500000012","447.17124388539565"
"Reinbeck","Grundy","Iowa",2259,"1005219.9499999972","444.9844842850806"
"Nashua","Chickasaw","Iowa",2305,"1022452.9500000027","443.58045553145456"
"Treynor","Pottawattamie","Iowa",1521,"669464.3499999992","440.14750164365495"
"Garwin","Tama","Iowa",1024,"446793.54999999976","436.32182617187476"
"Fonda","Pocahontas","Iowa",1103,"481166.10000000015","436.23399818676353"
"Delmar","Clinton","Iowa",993,"432047.3500000003","435.0930010070497"
"Walker","Linn","Iowa",1568,"677030.6999999983","431.77978316326426"
"Clarksville","Butler","Iowa",2306,"974864.9500000007","422.75149609713816"
"Essex","Page","Iowa",1154,"487457.1499999994","422.4065424610047"
"Ogden","Boone","Iowa",2813,"1176649.0500000035","418.2897440455043"
"Martelle","Jones","Iowa",654,"271035.99999999994","414.42813455657483"
"Dallas Center","Dallas","Iowa",2380,"982788.2500000017","412.93623949579904"
"Hull","Sioux","Iowa",3168,"1305391.7000000004","412.055460858586"
"Roland","Story","Iowa",1650,"674054.999999999","408.5181818181812"
"Farley","Dubuque","Iowa",2402,"977442.6499999978","406.92866361365435"
"Robins","Linn","Iowa",3059,"1219294.5","398.5925138934292"
"Princeton","Scott","Iowa",1580,"627490.2499999979","397.14572784809997"
"Granger","Dallas","Iowa",3023,"1186929.149999999","392.63286470393615"
"Nora Springs","Floyd","Iowa",2283,"891743.9000000034","390.60179588261207"
"Bloomfield","Davis","Iowa",7316,"2833400.0500000287","387.28814242756"
"Whittemore","Kossuth","Iowa",936,"359651.10000000003","384.24262820512826"
"Ruthven","Palo Alto","Iowa",1358,"513042.49999999884","377.79270986745126"
"Cambridge","Story","Iowa",1765,"646530.5999999992","366.3062889518409"
"Springville","Linn","Iowa",2394,"862676.1499999992","360.34926900584765"
"Oxford","Johnson","Iowa",2498,"873070.8999999987","349.507966373098"
"Rockford","Floyd","Iowa",1383,"469785.74999999825","339.68600867678833"
"Fremont","Mahaska","Iowa",965,"327180.8499999997","339.0475129533676"
"Ely","Linn","Iowa",3021,"1015227.4999999998","336.0567692816947"
"Kanawha","Hancock","Iowa",1260,"419354.2999999998","332.82087301587285"
"Urbandale","Dallas","Iowa",14593,"4849671.850000089","332.3286404440546"
"Woodward","Dallas","Iowa",2388,"786280.5499999963","329.26321189279577"
"Keota","Keokuk","Iowa",1823,"599512.2500000043","328.8602578167879"
"Colesburg","Delaware","Iowa",892,"284016.44999999995","318.4040919282511"
"Fairfax","Linn","Iowa",3194,"1011712.3999999976","316.754038822792"
"Lime Springs","Howard","Iowa",1340,"420352.2499999994","313.69570895522344"
"Hamburg","Fremont","Iowa",1569,"487837.45000000054","310.92253027406025"
"Jesup","Buchanan","Iowa",4247,"1318531.1999999979","310.4617847892625"
"Villisca","Montgomery","Iowa",1900,"572368.8999999984","301.24678947368335"
"Albert City","Buena Vista","Iowa",1003,"292967.34999999986","292.0910767696908"
"Lamont","Buchanan","Iowa",865,"251617.54999999935","290.88734104046165"
"Alta","Buena Vista","Iowa",2778,"805760.3500000013","290.0505219582438"
"Ossian","Winneshiek","Iowa",1317,"366896.0499999998","278.58470007593"
"Saint Charles","Madison","Iowa",2874,"785494.4499999965","273.3105254001379"
"Lone Tree","Johnson","Iowa",2048,"552998.9999999992","270.0190429687496"
"Coggon","Linn","Iowa",2049,"547316.5499999989","267.11398243045335"
"Runnells","Polk","Iowa",3101,"803610.0999999965","259.14546920348164"
"Alton","Sioux","Iowa",1713,"440900.14999999915","257.3847927612371"
"Prairie City","Jasper","Iowa",3009,"756450.5999999993","251.39601196410743"
"Fontanelle","Adair","Iowa",959,"220268.85000000015","229.68597497393134"
"Seymour","Wayne","Iowa",1264,"288433.5500000004","228.19109968354462"
"Van Meter","Dallas","Iowa",2622,"581201.1000000013","221.6632723112133"
"Casey","Guthrie","Iowa",904,"200120.2999999999","221.37201327433618"
"Aurelia","Cherokee","Iowa",1321,"289210.85000000044","218.93327024981107"
"New London","Henry","Iowa",3455,"747687.4999999998","216.4073806078147"
"Pomeroy","Calhoun","Iowa",783,"169139.85000000018","216.0151340996171"
"Merrill","Plymouth","Iowa",1729,"367726.5999999994","212.681665702718"
"Postville","Allamakee","Iowa",3669,"765614.950000003","208.6712864540755"
"Walcott","Scott","Iowa",2821,"587832.4999999976","208.37734845799275"
"Wyoming","Jones","Iowa",1127,"230586.3999999999","204.6019520851818"
"Melbourne","Marshall","Iowa",1308,"261015.90000000014","199.55344036697258"
"Hinton","Plymouth","Iowa",1874,"373292.7999999996","199.1957310565633"
"New Providence","Hardin","Iowa",555,"107099.1","192.97135135135136"
"Donnellson","Lee","Iowa",2786,"535195.9499999994","192.10192031586482"
"Danville","Des Moines","Iowa",1798,"342765.15000000095","190.63690211345994"
"Calmar","Winneshiek","Iowa",1830,"343040.80000000045","187.4539890710385"
"Gilman","Marshall","Iowa",852,"159704.85000000003","187.44700704225357"
"Rudd","Floyd","Iowa",619,"115688.3500000001","186.89555735056558"
"Aplington","Butler","Iowa",1779,"310102.6999999999","174.31292861157948"
"Tama","Tama","Iowa",4067,"681932.1999999987","167.6745020899923"
"Morning Sun","Louisa","Iowa",1451,"230080.44999999984","158.56681598897302"
"Murray","Clarke","Iowa",1375,"217882.5000000001","158.46000000000006"
"Hospers","Sioux","Iowa",1220,"191326.74999999988","156.82520491803268"
"Delhi","Delaware","Iowa",1017,"155764.05","153.1603244837758"
"Moville","Woodbury","Iowa",2635,"308317.3000000003","117.00846299810257"
"Preston","Jackson","Iowa",1476,"156034.69999999998","105.71456639566395"
"Boyden","Sioux","Iowa",1288,"129964.3000000001","100.90395962732927"
"Milo","Warren","Iowa",1589,"151363.20000000013","95.25689112649474"
"Sidney","Fremont","Iowa",1636,"130133.15000000004","79.54349022004892"
"Malcom","Poweshiek","Iowa",905,"64264.450000000026","71.0104419889503"
"Everly","Clay","Iowa",986,"56087.250000000015","56.88362068965519"
"Ireton","Sioux","Iowa",1112,"62519.35000000002","56.22243705035973"
"Washta","Cherokee","Iowa",458,"25598.549999999996","55.89203056768558"
"Bussey","Marion","Iowa",899,"44861.40000000002","49.90144605116799"
"Willmar","Kandiyohi","Minnesota",23562,"653468.7999999993","27.734012392835893"
"Olin","Jones","Iowa",1138,"23789.5","20.904657293497365"
"Colorado Springs","El Paso","Colorado",20168,"934.2","0.04632090440301468"
