"city","county","state","population","total_penjualan","penjualan_per_kapita"
"Stuart","Guthrie","Iowa",2293,"6085450.199999986","2653.9250763192263"
"Anamosa","Jones","Iowa",8855,"23331015.199999727","2634.7843252399466"
"Marshalltown","Marshall","Iowa",30828,"80804579.59999882","2621.1424549110816"
"Baldwin","Jackson","Iowa",472,"1235294.6000000052","2617.1495762711975"
"Marquette","Clayton","Iowa",257,"670081.8999999991","2607.3225680933815"
"Janesville","Bremer","Iowa",2194,"5717054.399999945","2605.7677301731746"
"Pocahontas","Pocahontas","Iowa",1996,"5178192.6499999715","2594.284894789565"
"Dyersville","Dubuque","Iowa",5776,"14710130.750000192","2546.767789127457"
"Forest City","Winnebago","Iowa",5652,"14322700.099999804","2534.094143665924"
"Ottumwa","Wapello","Iowa",29478,"73845802.45000064","2505.1157626026406"
"Independence","Buchanan","Iowa",9046,"22650903.299999364","2503.968969710299"
"Clinton","Clinton","Iowa",26721,"66706678.00000359","2496.4139815128024"
"Cherokee","Cherokee","Iowa",6317,"15676515.000000052","2481.6392274814075"
"Mount Pleasant","Henry","Iowa",12247,"30294814.95000076","2473.6519106720634"
"Boone","Boone","Iowa",16676,"40995175.2000036","2458.3338450469896"
"Grinnell","Poweshiek","Iowa",11411,"28011831.850000024","2454.8095565682256"
"Winterset","Madison","Iowa",8457,"20711830.899999354","2449.075428638921"
"Indianola","Warren","Iowa",20622,"49871309.05000597","2418.3546237031314"
"Council Bluffs","Pottawattamie","Iowa",36914,"88065617.09998742","2385.696946957453"
"De Soto","Dallas","Iowa",1061,"2527555.900000029","2382.2393025447964"
"Des Moines","Polk","Iowa",35795,"84579841.70000666","2362.8954239420773"
"Decorah","Winneshiek","Iowa",13531,"31731276.25000099","2345.0799090977007"
"Charles City","Floyd","Iowa",10214,"23909061.34999887","2340.8127423143596"
"Hampton","Franklin","Iowa",5289,"12378073.499999855","2340.342881452043"
"Northwood","Worth","Iowa",2906,"6742535.850000007","2320.211923606334"
"Newton","Jasper","Iowa",20610,"47573630.80000664","2308.279029597605"
"Fort Madison","Lee","Iowa",12398,"28615320.399999976","2308.0593966768815"
"Marengo","Iowa","Iowa",3527,"8119988.850000006","2302.236702580098"
"Le Claire","Scott","Iowa",5589,"12853110.79999976","2299.715655752328"
"Knoxville","Marion","Iowa",11940,"27192866.149999492","2277.459476549371"
"Lawler","Chickasaw","Iowa",842,"1912930.5999999966","2271.8890736342"
"Burlington","Des Moines","Iowa",28735,"64591920.35000731","2247.848280842433"
"Oskaloosa","Mahaska","Iowa",14896,"33171019.950003326","2226.8407592644553"
"Estherville","Emmet","Iowa",6873,"15201541.95000001","2211.7768005237904"
"Belmond","Wright","Iowa",2899,"6382515.300000056","2201.626526388429"
"Guttenberg","Clayton","Iowa",3068,"6693124.950000152","2181.592226206047"
"Pacific Junction","Mills","Iowa",1184,"2582544.40000001","2181.203040540549"
"Orange City","Sioux","Iowa",7180,"15553553.749999862","2166.2331128133515"
"Maquoketa","Jackson","Iowa",8403,"18151405.899999443","2160.110186837968"
"Onawa","Monona","Iowa",3500,"7526532.1999996295","2150.4377714284656"
"Sutherland","O'Brien","Iowa",819,"1759728.2999999903","2148.630402930391"
"Cedar Rapids","Linn","Iowa",24848,"52681487.00001261","2120.14999195157"
